GLOBALEVENTID,EventCode,GoldsteinScale,NumMentions,AvgTone,QuadClass,Actor1Geo_CountryCode
676583373,010,0.0,2,-3.63036303630363,1,LY
676583390,173,-5.0,5,-11.4828253507499,4,US
676583391,173,-5.0,2,-9.61538461538466,4,US
676583394,173,-5.0,1,-11.9496855345912,4,RQ
676583389,173,-5.0,1,-9.61538461538466,4,US
676583352,173,-5.0,4,-6.59722222222223,4,
676591975,173,-5.0,6,-10.4651162790698,4,RQ
676591974,173,-5.0,2,-10.4651162790698,4,RQ
676591966,120,-4.0,10,1.07526881720431,3,SN
676596250,051,3.4,10,1.72612197928654,1,CO
676596251,173,-5.0,2,-8.94736842105265,4,MK
676596252,173,-5.0,8,-8.94736842105265,4,MK
676597940,051,3.4,10,0.0,1,FR
676597931,071,7.4,4,-0.41124057573681,2,NZ
676597946,112,-2.0,10,-8.21678321678322,3,NZ
676597938,040,1.0,10,1.48148148148148,1,TH
676597939,043,2.8,10,1.48148148148148,1,TH
676597948,040,1.0,10,1.48148148148148,1,TH
676597949,042,1.9,10,1.48148148148148,1,TH
676603701,013,0.4,2,-4.89642184557439,1,BE
676603702,013,0.4,2,-4.89642184557439,1,NL
676603676,010,0.0,6,-4.89642184557439,1,BE
676603700,173,-5.0,2,-7.63052208835342,4,NI
676603697,173,-5.0,1,-7.63052208835342,4,NI
676603699,173,-5.0,4,-7.63052208835342,4,NI
676603679,046,7.0,3,-2.62096774193548,1,CH
676608062,173,-5.0,3,-7.03517587939698,4,US
676608043,042,1.9,5,-3.41023069207623,1,
676608055,174,-5.0,3,-8.36653386454184,4,CB
676608054,112,-2.0,1,-8.36653386454184,3,CH
676608057,174,-5.0,1,-8.36653386454184,4,CH
676610872,042,1.9,10,0.426439232409382,1,
676612150,015,0.0,1,-7.32217573221757,1,AC
676612154,100,-5.0,2,-6.73076923076924,3,CF
676612155,105,-5.0,2,-6.73076923076924,3,CF
676612169,100,-5.0,3,-6.73076923076924,3,CF
676612170,105,-5.0,3,-6.73076923076924,3,CF
676619331,042,1.9,10,0.90909090909091,1,
676623730,172,-5.0,4,-1.90023752969121,4,AF
676623731,172,-5.0,1,-1.90023752969121,4,SY
676623736,172,-5.0,5,-1.90023752969121,4,SY
676623749,172,-5.0,1,-1.90023752969121,4,AF
676623750,172,-5.0,4,-1.90023752969121,4,IZ
676623751,042,1.9,5,-1.90023752969121,1,GR
676623752,172,-5.0,5,-1.90023752969121,4,SY
676623753,042,1.9,3,-1.90023752969121,1,GR
676623754,172,-5.0,2,-1.90023752969121,4,GR
676623755,172,-5.0,3,-1.90023752969121,4,SY
676626953,043,2.8,8,-5.03067484662577,1,IT
676626949,046,7.0,1,-3.35917312661499,1,CH
