"Extracted from the UNHCR Population Statistics Reference Database","United Nations High Commissioner for Refugees"
"Date extracted: 2019-10-20 20:03:25 +02:00"

Year,"Country / territory of asylum/residence",Origin,"RSD procedure type / level","Applied during year"
2016,"United Kingdom",Aruba,"G / RA",
2016,"United Kingdom",Aruba,"G / FI",
2016,"United Kingdom",Aruba,"G / AR",
2016,Angola,Afghanistan,"G / FI",
2016,Albania,Afghanistan,"G / FI",64
2016,"United Arab Emirates",Afghanistan,"U / NA",18
2016,Argentina,Afghanistan,"G / FI",1
2016,Armenia,Afghanistan,"G / FI",
2016,Armenia,Afghanistan,"G / JR",2
2016,Australia,Afghanistan,"G / AR",33
2016,Australia,Afghanistan,"G / FI",2563
2016,Austria,Afghanistan,"G / FA",11522
2016,Azerbaijan,Afghanistan,"G / AR",12
2016,Azerbaijan,Afghanistan,"G / FI",
2016,Azerbaijan,Afghanistan,"U / FI",85
2016,Belgium,Afghanistan,"G / JR",388
2016,Belgium,Afghanistan,"G / FI",2227
2016,Belgium,Afghanistan,"G / RA",540
2016,Bulgaria,Afghanistan,"G / RA",183
2016,Bulgaria,Afghanistan,"G / FI",8613
2016,"Bosnia and Herzegovina",Afghanistan,"G / FI",3
2016,Belarus,Afghanistan,"G / FI",21
2016,Belarus,Afghanistan,"G / JR",2
2016,Brazil,Afghanistan,"G / FI",13
2016,Canada,Afghanistan,"G / FI",624
2016,Switzerland,Afghanistan,"G / FI",3183
2016,Switzerland,Afghanistan,"G / FI",46
2016,China,Afghanistan,"U / FI",20
2016,Colombia,Afghanistan,"G / FI",
2016,"Costa Rica",Afghanistan,"G / FI",2
2016,Cuba,Afghanistan,"U / FA",31
2016,Cyprus,Afghanistan,"G / RA",2
2016,Cyprus,Afghanistan,"G / FI",1
2016,Cyprus,Afghanistan,"G / AR",
2016,"Czech Rep.",Afghanistan,"G / FI",36
2016,"Czech Rep.",Afghanistan,"G / RA",1
2016,Germany,Afghanistan,"G / RA",880
2016,Germany,Afghanistan,"G / NA",127012
2016,Germany,Afghanistan,"G / JR",
2016,Denmark,Afghanistan,"G / FI",1154
2016,Denmark,Afghanistan,"G / AR",612
2016,Egypt,Afghanistan,"U / AR",4
2016,Egypt,Afghanistan,"U / FI",6
2016,Egypt,Afghanistan,"U / RA",
2016,Spain,Afghanistan,"G / FI",69
2016,Estonia,Afghanistan,"G / FI",
2016,Finland,Afghanistan,"G / FI",697
2016,Finland,Afghanistan,"G / RA",60
2016,Fiji,Afghanistan,"G / AR",
2016,France,Afghanistan,"G / RA",38
2016,France,Afghanistan,"G / FI",6087
2016,France,Afghanistan,"G / RA",21
2016,France,Afghanistan,"G / AR",611
2016,"United Kingdom",Afghanistan,"G / AR",969
2016,"United Kingdom",Afghanistan,"G / FI",3094
2016,"United Kingdom",Afghanistan,"G / RA",61
2016,Georgia,Afghanistan,"G / FI",17
2016,Greece,Afghanistan,"G / RA",78
2016,Greece,Afghanistan,"G / AR",204
2016,Greece,Afghanistan,"G / FI",4293
2016,Guatemala,Afghanistan,"G / FI",
2016,Croatia,Afghanistan,"G / FI",581
2016,Croatia,Afghanistan,"G / JR",13
2016,Hungary,Afghanistan,"G / RA",278
2016,Hungary,Afghanistan,"G / FA",
2016,Hungary,Afghanistan,"G / FI",10774
2016,Indonesia,Afghanistan,"U / FI",1162
2016,Indonesia,Afghanistan,"U / AR",73
2016,India,Afghanistan,"U / FI",4100
2016,India,Afghanistan,"U / AR",398
2016,Ireland,Afghanistan,"G / SP",6
2016,Ireland,Afghanistan,"G / FI",121
2016,Ireland,Afghanistan,"G / SP",3
2016,Ireland,Afghanistan,"G / RA",3
2016,Ireland,Afghanistan,"G / AR",52
2016,"Iran (Islamic Rep. of)",Afghanistan,"U / FI",
2016,Iraq,Afghanistan,"U / FI",
2016,Iceland,Afghanistan,"G / FI",23
2016,Italy,Afghanistan,"G / FI",2851
